gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1.0,0,0,0,0.3219400872880136,1,1,0,0,0,0,1,0,1,0.6747589334206673,0.49574884240189726,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1,1,0,-0.20897635672100598,1,1,1,0,1,0,0,0,1,0.7081362140879094,-0.015290956605324334,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0,0,0,-0.04561745087207687,1,0,0,0,0,0,0,0,0,-1.478075669616449,-0.7318453029220777,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0,1,1,-0.7398928007300255,1,0,1,1,0,1,0,0,0,-0.1746928595606445,-0.6554528702840253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,0,0,-1.0257708859656514,1,1,0,0,0,0,0,0,0,0.29759566188083103,-0.771475962299373,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0,1,1,1.424612701768285,1,1,0,0,1,1,0,1,1,0.1740997234120356,1.0503334399841713,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0,0,-1.270809244739045,1,0,0,0,0,0,0,0,0,-0.6920407099028972,-0.983217549241701,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,1,1,-0.5765338948810964,1,0,0,0,0,0,1,0,0,-0.2915133418959919,-0.521148969060969,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0,0,0,0.07690172851461995,1,0,0,1,0,0,0,0,1,0.30927771011436606,0.12008043712621125,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,0,0,-0.9440914330411869,1,0,0,0,0,1,1,0,1,-0.1730239955272825,-0.7670058374201157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1,1,0.4444592666747104,1,1,0,0,1,0,1,1,1,1.1553917750289533,0.8697715300603439,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,0,0,-0.7807325271922578,1,0,1,0,0,0,0,0,1,0.30260225398091756,-0.577259044037914,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1,0,0,-1.229969518276813,1,1,0,0,1,0,0,0,1,0.4628132011836796,-0.9362478788686102,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0,1,1,1.6288113340794463,1,1,0,0,0,0,0,0,0,-1.306182674180152,-0.17203443993370657,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,1,0,0,0.19942090790131678,1,1,0,0,1,0,1,1,1,1.215470880229989,0.6625445468517933,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1,0,0,-1.270809244739045,1,1,0,0,0,0,0,0,1,0.3927209117824713,-0.96876192152271,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0,0,0,-1.229969518276813,1,0,1,1,0,0,1,1,0,1.1854313276294715,-0.9144754795810838,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1,1,0,0.5261387195991749,1,0,0,0,1,0,0,1,1,0.7148116702213574,0.7147627220582405,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0,0,0,-1.229969518276813,1,1,0,0,0,0,0,0,1,0.36268135918195327,-0.9287976707365148,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0,1,1,0.8936962577592654,1,1,1,1,0,0,1,1,1,1.3156027222317155,1.508421162685366,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,1,1,-0.1681366302587737,0,0,0,1,0,0,0,1,1,-0.8539205211390215,-0.5150108871372129,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0,0,0,-0.12729690379654143,1,1,0,0,0,0,0,1,1,0.6747589334206673,0.11641093162831354,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0,0,0,-0.7807325271922578,0,0,1,0,0,1,1,0,1,-0.63863706083531,-0.7372272443189943,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0,0,0,-0.08645717733430915,1,0,1,0,1,0,0,0,1,-0.30152652609616465,-0.2671524703246673,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0,1,1,0.5261387195991749,1,0,0,0,0,0,0,0,0,-1.479744533649811,-0.5894684896036464,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,0,1,1,1.3429332488438204,1,1,1,1,0,0,0,1,1,0.1624176751785006,0.9806128355241148,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0,0,0,0.07690172851461995,1,1,0,1,1,0,1,1,1,1.3907016037330102,0.5758997382468872,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0,1,0,1.547131881154982,1,1,0,1,1,1,1,0,0,0.27590042944712395,1.3392903183731715,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1,1,0,-0.2906558096454705,1,1,1,0,0,1,1,0,1,0.1607488111451386,-0.22320736205893466,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,1,0,1.4654524282305172,1,1,1,1,1,1,1,1,1,0.9017244419579135,1.85486696054143,0.0,0.0,0.0,1.0,0.0,1.0,0.0
