gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0.0,-0.4402778489254012,1,0,-1.2799104650468203,0,0,0,1,0,0,0,0,1,-1.1610099395146751,-0.9937454409302887,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,0,0,0.06488530927178511,1,0,1,0,1,0,0,0,0,-0.2600308064912675,-0.1728442981055503,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,0,-1.2391590779462565,1,0,1,1,0,0,0,0,1,-0.36309484015815174,-0.9591816469458415,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,0,0.5131505673779869,0,0,1,0,1,1,0,0,0,-0.7470914817234787,-0.19436390163992825,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,-0.4402778489254012,0,0,-1.2391590779462565,1,0,0,0,0,0,0,0,1,0.19710805251507402,-0.9399795391767043,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,-0.4402778489254012,0,0,-0.9946507553428736,1,1,0,0,1,0,1,1,1,1.1595931411138805,-0.6447305786850386,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,-0.4402778489254012,0,1,-0.4241313359349805,1,1,0,1,0,0,1,0,1,0.8088429620217417,-0.14640277499356583,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,-0.4402778489254012,0,0,-0.913147981141746,0,0,1,0,0,0,0,0,0,-1.164334585761994,-0.8736550175143394,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.4402778489254012,0,1,1.2059241480875715,1,0,1,1,0,0,0,0,0,-0.28662797646981836,0.5327559125514029,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,-0.4402778489254012,1,1,-0.7908938198400547,1,0,1,0,0,0,0,0,1,-0.49275604380358673,-0.7476053192734854,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
