Feature,Coefficient,Absolute_Coefficient
processor_tier,0.14948196350843893,0.14948196350843893
storage_type_HDD,-0.14780238110847335,0.14780238110847335
is_gaming,0.14679205617213786,0.14679205617213786
ram_gb,0.14448350444136876,0.14448350444136876
discount_pct(%),-0.10663973342506185,0.10663973342506185
processor_brand_Intel,-0.08719793042339069,0.08719793042339069
storage_gb,0.06350370325735648,0.06350370325735648
premium_brand,-0.059479560351741914,0.059479560351741914
storage_type_SSD,0.051193283286485536,0.051193283286485536
Reviews,-0.03144251092194852,0.03144251092194852
Stars,-0.01653875270114293,0.01653875270114293
processor_generation,0.014199848839384941,0.014199848839384941
brand,8.854731877616722e-06,8.854731877616722e-06
Rating,-0.0,0.0
