Product Name,brand,Discount price,discount_pct(%),Stars,Rating,Reviews,ram_gb,storage_gb,storage_type,processor_brand,processor_tier,processor_generation,is_gaming,premium_brand
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,MSI,54990.0,38.89,3.9,7.0,1.0,16.0,512.0,SSD,Intel,Mid,12,0,1
MSI Thin 15 Intel Core i7 12th Gen 12650H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,MSI,67990.0,19.05,0.0,0.0,0.0,8.0,1024.0,SSD,Intel,High,12,0,1
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,DELL,35660.0,27.58,4.2,1805.0,143.0,8.0,512.0,SSD,Intel,Entry,12,0,0
Acer One (2024) Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin a...,Acer,26990.0,38.66,4.2,6977.0,596.0,8.0,512.0,SSD,Intel,Entry,11,0,0
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light...,Lenovo,27989.0,52.88,4.2,1263.0,113.0,8.0,512.0,SSD,AMD,Entry,0,0,0
Lenovo AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light ...,Lenovo,32990.0,48.37,5.0,7.0,0.0,8.0,512.0,SSD,AMD,Entry,0,0,0
HP FQ Series Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-FQ5326TU Laptop,HP,36175.0,28.85,4.6,5.0,0.0,8.0,512.0,SSD,Intel,Entry,12,0,0
HP ENVY AMD Ryzen 5 Hexa Core 8640HS - (16 GB/512 GB SSD/Windows 11 Home) 14-fa0038AU Thin and Light L...,HP,84490.0,14.78,2.3,3.0,0.0,16.0,512.0,SSD,AMD,Mid,0,0,0
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,Acer,59990.0,36.18,4.3,1098.0,108.0,16.0,512.0,SSD,Intel,Mid,13,0,0
HP Laptop AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2212AU Thin and Light...,HP,35490.0,20.75,4.3,4029.0,466.0,8.0,512.0,SSD,AMD,Entry,0,0,0
ASUS TUF Gaming A15 (2024) AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graph...,ASUS,124990.0,13.2,0.0,0.0,0.0,16.0,512.0,SSD,AMD,High,0,1,0
ASUS TUF Gaming A15 (2024) AMD Ryzen 9 Octa Core 8945H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics...,ASUS,142990.0,16.86,0.0,0.0,0.0,16.0,1024.0,SSD,AMD,Ultra,0,1,0
HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Lapto...,HP,42990.0,27.27,4.3,3246.0,255.0,16.0,512.0,SSD,AMD,Mid,0,0,0
HP 250 G9 Intel Core i3 12th Gen Intel Core i3 1215U - (8 GB/512 GB SSD/Windows 11 Home) 250 G9 Busine...,HP,32490.0,31.68,4.3,320.0,13.0,8.0,512.0,SSD,Intel,Entry,12,0,0
CHUWI Intel Core i5 10th Gen 1035G1 - (16 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,CHUWI,24990.0,50.01,4.2,156.0,28.0,16.0,512.0,SSD,Intel,Mid,10,0,0
Lenovo V15 FHD AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) v15 G4 Business Laptop,Lenovo,40990.0,18.02,4.5,13.0,2.0,16.0,512.0,SSD,AMD,High,0,0,0
MSI Sword 16 HX Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...,MSI,124990.0,10.72,0.0,0.0,0.0,16.0,1024.0,SSD,Intel,High,14,0,1
MSI Prestige 16 AI Studio Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics) Pre...,MSI,189990.0,10.8,0.0,0.0,0.0,32.0,1024.0,SSD,Intel,Ultra,0,0,1
MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN / ...,MSI,29990.0,33.34,4.3,553.0,65.0,8.0,512.0,SSD,Intel,Entry,12,0,1
HP 2023 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light L...,HP,36990.0,27.85,4.2,3102.0,221.0,8.0,512.0,SSD,Intel,Entry,12,0,0
HP ENVY AMD Ryzen 7 Octa Core 8840HS - (16 GB/512 GB SSD/Windows 11 Home) 14-fa0052AU Thin and Light L...,HP,94490.0,14.4,0.0,0.0,0.0,16.0,512.0,SSD,AMD,High,0,0,0
MSI Claw Intel Core Ultra 5 135H - (16 GB/512 GB SSD/Windows 11 Home) Claw A1M-219IN Handheld Gaming P...,MSI,64990.0,26.97,0.0,0.0,0.0,16.0,512.0,SSD,Intel,Ultra,0,1,1
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,HP,39490.0,27.61,4.3,7151.0,559.0,8.0,512.0,SSD,AMD,Mid,0,0,0
ASUS Vivobook 15 (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953...,ASUS,36990.0,35.09,4.3,3696.0,315.0,8.0,512.0,SSD,Intel,Entry,12,0,0
DELL Inspiron 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,DELL,47490.0,26.5,4.2,443.0,31.0,8.0,512.0,SSD,Intel,Mid,12,0,0
HP 2023 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light L...,HP,36990.0,27.85,4.2,3102.0,221.0,8.0,512.0,SSD,Intel,Entry,12,0,0
Lenovo IdeaPad Slim 1 (2024) AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | ...,Lenovo,35990.0,34.67,4.2,4232.0,410.0,8.0,512.0,SSD,AMD,Mid,0,0,0
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,53990.0,28.95,4.3,5330.0,492.0,8.0,512.0,SSD,Intel,Mid,11,1,0
ASUS VivoBook K15 OLED (2024) AMD Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) ...,ASUS,61500.0,29.3,4.3,1766.0,191.0,16.0,512.0,SSD,AMD,High,0,0,0
Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) IN-N15I Thin ...,Thomson,27490.0,31.26,5.0,3.0,0.0,8.0,256.0,SSD,Intel,Entry,12,0,0
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,MSI,54990.0,38.89,3.9,7.0,1.0,16.0,512.0,SSD,Intel,Mid,12,0,1
